person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23.0,54000.0,MORTGAGE,7.0,EDUCATION,B,4800.0,12.42,0,0.09,N,2.0
26.0,36000.0,RENT,10.0,MEDICAL,A,6400.0,5.99,0,0.18,N,3.0
23.0,37000.0,RENT,4.0,DEBTCONSOLIDATION,A,6400.0,10.99,0,0.17,N,4.0
23.0,54000.0,MORTGAGE,7.0,MEDICAL,A,6000.0,6.03,0,0.11,N,4.0
26.0,37850.0,RENT,1.0,PERSONAL,B,6400.0,9.88,0,0.17,N,2.0
23.0,54000.0,MORTGAGE,2.0,VENTURE,A,7000.0,6.62,0,0.13,N,3.0
25.0,54000.0,OWN,9.0,EDUCATION,C,15000.0,10.99,0,0.28,Y,4.0
22.0,54000.0,MORTGAGE,5.0,MEDICAL,B,7000.0,10.65,0,0.13,N,4.0
23.0,54000.0,MORTGAGE,5.0,VENTURE,B,8500.0,12.42,0,0.16,N,2.0
25.0,38000.0,RENT,3.0,VENTURE,A,6400.0,7.88,0,0.17,N,3.0
24.0,39500.0,RENT,0.0,PERSONAL,B,6400.0,10.36,0,0.16,N,2.0
25.0,54000.0,MORTGAGE,6.0,VENTURE,E,7000.0,18.64,0,0.13,N,3.0
26.0,46000.0,RENT,2.0,MEDICAL,B,6400.0,9.67,0,0.14,N,4.0
22.0,46300.0,RENT,1.0,EDUCATION,A,6400.0,10.99,0,0.14,N,4.0
22.0,54000.0,MORTGAGE,4.0,MEDICAL,B,15000.0,11.99,0,0.28,N,2.0
26.0,48000.0,MORTGAGE,0.0,EDUCATION,A,15000.0,5.99,1,0.31,N,2.0
24.0,54000.0,MORTGAGE,7.0,PERSONAL,A,5000.0,5.42,0,0.09,N,4.0
22.0,48000.0,MORTGAGE,3.0,VENTURE,D,6500.0,15.99,1,0.14,Y,2.0
25.0,54000.0,MORTGAGE,7.0,EDUCATION,B,5500.0,10.59,0,0.1,N,4.0
26.0,48000.0,RENT,2.0,DEBTCONSOLIDATION,C,6400.0,13.47,0,0.13,Y,3.0
23.0,54000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,A,1400.0,5.42,0,0.03,N,4.0
25.0,50000.0,RENT,0.0,HOMEIMPROVEMENT,B,6400.0,9.91,0,0.13,N,4.0
25.0,48000.0,MORTGAGE,8.0,PERSONAL,A,2250.0,8.49,1,0.05,N,3.0
24.0,54000.0,MORTGAGE,8.0,PERSONAL,A,13000.0,7.49,0,0.24,N,2.0
21.0,48000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,D,18000.0,15.62,1,0.38,Y,3.0
23.0,50000.0,RENT,3.0,VENTURE,A,6400.0,6.91,0,0.13,N,2.0
24.0,54000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,B,8500.0,10.99,0,0.16,N,3.0
25.0,55000.0,RENT,0.0,EDUCATION,B,6400.0,10.71,0,0.12,N,3.0
22.0,54000.0,MORTGAGE,4.0,EDUCATION,D,5000.0,15.62,0,0.09,N,2.0
24.0,49200.0,RENT,2.0,MEDICAL,D,6400.0,10.99,1,0.13,N,3.0
22.0,54000.0,OWN,2.0,VENTURE,B,2000.0,10.99,0,0.04,N,3.0
25.0,54000.0,MORTGAGE,7.0,PERSONAL,D,12000.0,16.49,0,0.22,Y,3.0
24.0,54000.0,MORTGAGE,5.0,PERSONAL,A,8000.0,7.49,0,0.15,N,4.0
24.0,54000.0,MORTGAGE,3.0,PERSONAL,B,8000.0,10.99,0,0.15,N,3.0
24.0,60000.0,RENT,2.0,DEBTCONSOLIDATION,A,6400.0,10.99,0,0.11,N,4.0
23.0,54000.0,MORTGAGE,7.0,MEDICAL,B,8800.0,10.99,0,0.16,N,4.0
22.0,62502.0,RENT,3.0,PERSONAL,B,6400.0,11.71,0,0.1,N,3.0
22.0,62758.0,RENT,2.0,EDUCATION,A,6400.0,8.49,0,0.1,N,3.0
24.0,54000.0,MORTGAGE,5.0,VENTURE,A,4000.0,5.42,0,0.07,N,2.0
23.0,54000.0,MORTGAGE,7.0,PERSONAL,A,2000.0,5.42,0,0.04,N,2.0
24.0,54000.0,MORTGAGE,5.0,VENTURE,A,11000.0,5.42,0,0.2,N,2.0
24.0,65000.0,RENT,2.0,DEBTCONSOLIDATION,B,6400.0,10.65,0,0.1,N,2.0
24.0,65000.0,RENT,1.0,VENTURE,B,6400.0,9.99,0,0.1,N,4.0
23.0,54000.0,MORTGAGE,8.0,VENTURE,A,3000.0,5.42,0,0.06,N,2.0
21.0,70000.0,RENT,4.0,PERSONAL,D,6400.0,17.49,0,0.09,N,4.0
22.0,54000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,B,3000.0,10.0,0,0.06,N,3.0
25.0,54000.0,MORTGAGE,2.0,HOMEIMPROVEMENT,A,13000.0,6.92,0,0.24,N,4.0
22.0,71500.0,RENT,2.0,EDUCATION,C,6400.0,13.11,0,0.09,Y,2.0
22.0,72000.0,RENT,5.0,EDUCATION,A,6400.0,6.91,0,0.09,N,2.0
26.0,54000.0,MORTGAGE,3.0,MEDICAL,A,5000.0,5.79,0,0.09,N,3.0
25.0,75000.0,RENT,5.0,PERSONAL,D,6400.0,15.99,0,0.09,Y,2.0
26.0,69000.0,RENT,6.0,EDUCATION,E,6400.0,16.4,1,0.09,Y,4.0
26.0,54000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,A,7200.0,5.42,0,0.13,N,2.0
25.0,54000.0,MORTGAGE,2.0,PERSONAL,B,4000.0,11.11,0,0.07,N,3.0
24.0,75000.0,RENT,4.0,VENTURE,B,6400.0,10.36,0,0.09,N,4.0
24.0,76800.0,RENT,0.0,EDUCATION,A,6400.0,7.51,0,0.08,N,3.0
25.0,54000.0,MORTGAGE,9.0,VENTURE,A,8000.0,6.92,0,0.15,N,4.0
25.0,54000.0,MORTGAGE,4.0,MEDICAL,B,8400.0,11.11,0,0.16,N,4.0
24.0,80000.0,RENT,6.0,MEDICAL,A,6400.0,7.49,0,0.08,N,4.0
21.0,54000.0,OWN,5.0,VENTURE,B,20000.0,10.74,0,0.37,N,2.0
25.0,54000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,B,5100.0,9.62,0,0.09,N,4.0
24.0,93500.0,RENT,2.0,VENTURE,C,6400.0,13.23,0,0.07,Y,3.0
22.0,110000.0,RENT,6.0,MEDICAL,A,6400.0,9.32,0,0.06,N,4.0
25.0,54000.0,MORTGAGE,1.0,EDUCATION,A,6000.0,6.17,0,0.11,N,4.0
25.0,110500.0,RENT,9.0,VENTURE,D,6400.0,13.67,0,0.06,N,3.0
24.0,112000.0,RENT,8.0,HOMEIMPROVEMENT,A,6400.0,6.62,0,0.06,N,2.0
22.0,54000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,B,13200.0,9.99,0,0.24,N,4.0
22.0,54000.0,MORTGAGE,5.0,EDUCATION,C,12000.0,12.23,0,0.22,Y,3.0
23.0,48000.0,MORTGAGE,8.0,MEDICAL,D,1400.0,14.83,1,0.03,Y,2.0
24.0,77500.0,RENT,0.0,DEBTCONSOLIDATION,B,6800.0,10.99,0,0.09,N,3.0
24.0,54000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,B,4000.0,9.99,0,0.07,N,4.0
26.0,54000.0,MORTGAGE,5.0,EDUCATION,B,10000.0,8.88,0,0.19,N,4.0
26.0,48000.0,MORTGAGE,11.0,MEDICAL,A,5000.0,7.14,1,0.1,N,2.0
26.0,87360.0,RENT,1.0,EDUCATION,C,6800.0,12.99,0,0.08,N,3.0
23.0,54000.0,MORTGAGE,4.0,MEDICAL,B,2700.0,11.86,0,0.05,N,3.0
22.0,54000.0,MORTGAGE,1.0,MEDICAL,C,4000.0,13.98,0,0.07,N,4.0
23.0,124000.0,RENT,3.0,DEBTCONSOLIDATION,A,6800.0,6.03,0,0.05,N,2.0
24.0,24000.0,RENT,0.0,MEDICAL,A,6825.0,5.42,0,0.28,N,4.0
26.0,37000.0,RENT,0.0,VENTURE,A,6825.0,7.49,0,0.18,N,2.0
23.0,73000.0,RENT,0.0,DEBTCONSOLIDATION,B,6825.0,10.99,0,0.09,N,3.0
25.0,42000.0,RENT,6.0,VENTURE,B,6850.0,10.99,0,0.16,N,4.0
22.0,47000.0,RENT,3.0,DEBTCONSOLIDATION,B,6850.0,10.65,1,0.15,N,4.0
25.0,57000.0,RENT,3.0,MEDICAL,A,6850.0,10.99,0,0.12,N,4.0
23.0,54000.0,MORTGAGE,0.0,EDUCATION,B,10000.0,11.49,0,0.19,N,4.0
22.0,60000.0,RENT,1.0,EDUCATION,A,6850.0,7.14,0,0.11,N,2.0
25.0,80266.0,RENT,5.0,MEDICAL,B,6875.0,11.86,0,0.09,N,2.0
24.0,54000.0,MORTGAGE,9.0,MEDICAL,C,15600.0,13.61,0,0.29,Y,4.0
22.0,28000.0,RENT,5.0,DEBTCONSOLIDATION,B,6900.0,9.99,0,0.25,N,3.0
24.0,33000.0,RENT,2.0,HOMEIMPROVEMENT,E,6900.0,17.56,1,0.21,Y,3.0
24.0,47480.0,RENT,8.0,MEDICAL,B,6900.0,9.88,0,0.15,N,2.0
25.0,58000.0,RENT,5.0,VENTURE,A,6900.0,7.66,0,0.12,N,4.0
23.0,54000.0,OWN,7.0,VENTURE,A,6000.0,7.51,0,0.11,N,3.0
23.0,48000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,D,16800.0,14.59,1,0.35,N,2.0
26.0,54000.0,MORTGAGE,6.0,HOMEIMPROVEMENT,A,10000.0,7.51,0,0.19,N,3.0
25.0,54000.0,MORTGAGE,9.0,PERSONAL,C,16000.0,10.99,0,0.3,N,4.0
23.0,54000.0,MORTGAGE,3.0,VENTURE,B,10000.0,9.88,0,0.19,N,2.0
21.0,25000.0,RENT,6.0,EDUCATION,B,6925.0,11.71,0,0.28,N,3.0
26.0,54000.0,MORTGAGE,5.0,PERSONAL,A,14000.0,7.88,0,0.26,N,3.0
26.0,34000.0,RENT,10.0,DEBTCONSOLIDATION,D,6925.0,15.99,1,0.2,N,3.0
22.0,78000.0,RENT,0.0,VENTURE,B,6925.0,9.62,0,0.09,N,4.0
21.0,48000.0,MORTGAGE,1.0,EDUCATION,B,3500.0,10.25,1,0.07,N,3.0
21.0,54000.0,MORTGAGE,4.0,PERSONAL,B,10000.0,10.99,0,0.19,N,4.0
26.0,54000.0,MORTGAGE,9.0,PERSONAL,A,10800.0,7.88,0,0.2,N,3.0
22.0,25000.0,RENT,2.0,PERSONAL,C,7000.0,13.85,0,0.28,Y,3.0
24.0,54000.0,OWN,8.0,EDUCATION,C,1200.0,13.11,0,0.02,Y,3.0
21.0,54000.0,MORTGAGE,5.0,VENTURE,A,13000.0,7.51,0,0.24,N,4.0
22.0,25000.0,RENT,0.0,MEDICAL,C,7000.0,12.87,0,0.28,Y,2.0
25.0,26004.0,RENT,8.0,DEBTCONSOLIDATION,A,7000.0,6.92,0,0.27,N,3.0
24.0,54000.0,OWN,8.0,PERSONAL,B,10000.0,10.99,0,0.19,N,3.0
22.0,54000.0,MORTGAGE,3.0,PERSONAL,A,9000.0,7.51,0,0.17,N,3.0
25.0,54000.0,OWN,5.0,HOMEIMPROVEMENT,B,8000.0,11.83,0,0.15,N,3.0
24.0,54000.0,MORTGAGE,9.0,MEDICAL,A,8525.0,8.59,0,0.16,N,4.0
24.0,54000.0,MORTGAGE,2.0,VENTURE,A,8700.0,7.05,0,0.16,N,4.0
23.0,26400.0,RENT,0.0,MEDICAL,A,7000.0,7.4,0,0.27,N,2.0
23.0,27000.0,RENT,4.0,PERSONAL,C,7000.0,13.79,0,0.26,N,2.0
24.0,54000.0,MORTGAGE,5.0,MEDICAL,B,9000.0,11.14,0,0.17,N,4.0
21.0,27600.0,RENT,5.0,EDUCATION,A,7000.0,5.99,0,0.25,N,2.0
24.0,54000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,A,3000.0,7.05,0,0.06,N,2.0
22.0,54000.0,MORTGAGE,6.0,PERSONAL,A,7000.0,8.94,0,0.13,N,2.0
24.0,27600.0,RENT,4.0,PERSONAL,D,7000.0,15.62,1,0.25,Y,4.0
22.0,48000.0,MORTGAGE,6.0,EDUCATION,D,12000.0,16.0,1,0.25,N,4.0
23.0,54000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3000.0,10.99,0,0.06,N,3.0
26.0,54000.0,MORTGAGE,10.0,DEBTCONSOLIDATION,A,9000.0,8.94,0,0.17,N,4.0
25.0,27600.0,RENT,2.0,MEDICAL,B,7000.0,9.76,0,0.25,N,4.0
23.0,28000.0,RENT,4.0,EDUCATION,B,7000.0,10.62,0,0.25,N,2.0
23.0,54000.0,MORTGAGE,1.0,EDUCATION,C,13650.0,10.99,0,0.25,Y,2.0
23.0,28038.0,RENT,2.0,DEBTCONSOLIDATION,A,7000.0,7.88,0,0.25,N,4.0
23.0,54000.0,OWN,4.0,DEBTCONSOLIDATION,D,2800.0,14.42,0,0.05,N,3.0
25.0,28500.0,RENT,0.0,DEBTCONSOLIDATION,B,7000.0,10.0,0,0.25,N,3.0
26.0,28608.0,RENT,2.0,MEDICAL,A,7000.0,6.92,0,0.24,N,3.0
23.0,54000.0,MORTGAGE,7.0,MEDICAL,A,13500.0,9.63,0,0.25,N,2.0
23.0,28685.0,RENT,3.0,DEBTCONSOLIDATION,C,7000.0,12.73,0,0.24,N,2.0
26.0,28800.0,RENT,4.0,MEDICAL,A,7000.0,5.42,0,0.24,N,4.0
23.0,28800.0,RENT,4.0,MEDICAL,A,7000.0,7.49,0,0.24,N,4.0
23.0,30000.0,RENT,0.0,VENTURE,B,7000.0,12.69,0,0.23,N,2.0
22.0,30000.0,RENT,0.0,MEDICAL,A,7000.0,8.9,0,0.23,N,4.0
21.0,30000.0,RENT,2.0,PERSONAL,B,7000.0,10.99,1,0.23,N,2.0
21.0,54036.0,MORTGAGE,3.0,MEDICAL,B,8000.0,11.36,0,0.15,N,2.0
22.0,30000.0,RENT,4.0,DEBTCONSOLIDATION,D,7000.0,16.49,1,0.23,Y,3.0
26.0,54080.0,OWN,10.0,EDUCATION,A,5000.0,7.51,0,0.09,N,3.0
24.0,54080.0,MORTGAGE,8.0,PERSONAL,A,8000.0,8.63,0,0.15,N,4.0
22.0,30000.0,RENT,6.0,MEDICAL,B,7000.0,9.62,1,0.23,N,4.0
25.0,30000.0,RENT,1.0,MEDICAL,B,7000.0,10.62,0,0.23,N,3.0
26.0,54200.0,MORTGAGE,3.0,HOMEIMPROVEMENT,A,7000.0,7.49,0,0.13,N,3.0
25.0,30000.0,RENT,4.0,MEDICAL,A,7000.0,7.74,0,0.23,N,2.0
22.0,30000.0,RENT,2.0,MEDICAL,F,7000.0,17.58,1,0.23,N,2.0
22.0,54252.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,3500.0,6.39,0,0.06,N,2.0
26.0,30000.0,RENT,2.0,MEDICAL,B,7000.0,10.71,0,0.23,N,4.0
24.0,30996.0,RENT,7.0,VENTURE,E,7000.0,16.63,0,0.23,Y,4.0
25.0,31000.0,RENT,9.0,EDUCATION,A,7000.0,7.51,0,0.23,N,4.0
26.0,31000.0,RENT,6.0,EDUCATION,A,7000.0,10.99,0,0.23,N,2.0
25.0,31200.0,RENT,2.0,EDUCATION,A,7000.0,7.88,0,0.22,N,2.0
22.0,31221.0,RENT,4.0,EDUCATION,B,7000.0,11.83,0,0.22,N,4.0
21.0,32000.0,RENT,3.0,VENTURE,B,7000.0,11.49,0,0.22,N,2.0
24.0,54400.0,MORTGAGE,8.0,DEBTCONSOLIDATION,C,12000.0,10.99,0,0.22,Y,4.0
24.0,54400.0,MORTGAGE,8.0,HOMEIMPROVEMENT,A,3300.0,7.66,0,0.06,N,2.0
24.0,48442.0,MORTGAGE,8.0,DEBTCONSOLIDATION,D,9800.0,15.7,1,0.2,N,2.0
25.0,54499.0,MORTGAGE,2.0,HOMEIMPROVEMENT,A,12000.0,9.63,0,0.22,N,4.0
22.0,54500.0,MORTGAGE,6.0,EDUCATION,B,7500.0,10.59,0,0.14,N,3.0
23.0,32000.0,RENT,0.0,HOMEIMPROVEMENT,C,7000.0,14.26,1,0.22,N,4.0
22.0,32340.0,RENT,6.0,DEBTCONSOLIDATION,A,7000.0,6.62,0,0.22,N,2.0
24.0,32400.0,RENT,1.0,MEDICAL,C,7000.0,13.98,0,0.22,Y,2.0
22.0,32769.0,RENT,3.0,VENTURE,A,7000.0,7.29,0,0.21,N,3.0
26.0,54528.0,MORTGAGE,9.0,HOMEIMPROVEMENT,A,10000.0,8.94,0,0.18,N,3.0
22.0,54566.0,MORTGAGE,6.0,PERSONAL,B,4000.0,12.53,0,0.07,N,2.0
23.0,33000.0,RENT,0.0,EDUCATION,A,7000.0,6.62,0,0.21,N,2.0
23.0,33000.0,RENT,2.0,VENTURE,A,7000.0,7.9,0,0.21,N,2.0
23.0,33000.0,RENT,1.0,DEBTCONSOLIDATION,C,7000.0,13.61,0,0.21,N,4.0
22.0,48600.0,MORTGAGE,6.0,EDUCATION,B,12000.0,12.42,1,0.25,N,4.0
26.0,54600.0,MORTGAGE,10.0,PERSONAL,B,4800.0,10.99,0,0.09,N,2.0
24.0,48600.0,MORTGAGE,1.0,EDUCATION,D,8000.0,10.99,1,0.16,N,4.0
22.0,33000.0,RENT,2.0,DEBTCONSOLIDATION,B,7000.0,10.99,0,0.21,N,2.0
24.0,33198.0,RENT,3.0,MEDICAL,C,7000.0,14.27,1,0.21,N,3.0
24.0,33600.0,RENT,0.0,PERSONAL,C,7000.0,13.61,0,0.21,Y,4.0
26.0,33996.0,RENT,10.0,VENTURE,A,7000.0,8.0,0,0.21,N,2.0
24.0,33996.0,RENT,1.0,DEBTCONSOLIDATION,C,7000.0,13.16,1,0.21,N,3.0
23.0,34482.0,RENT,7.0,PERSONAL,B,7000.0,10.99,0,0.2,N,4.0
23.0,34800.0,RENT,0.0,MEDICAL,B,7000.0,11.99,1,0.2,N,2.0
20.0,34800.0,RENT,3.0,MEDICAL,C,7000.0,13.61,0,0.2,Y,2.0
22.0,54800.0,OWN,7.0,EDUCATION,A,8000.0,10.99,0,0.15,N,2.0
24.0,35000.0,RENT,8.0,MEDICAL,B,7000.0,12.69,0,0.2,N,2.0
26.0,54828.0,MORTGAGE,10.0,EDUCATION,E,5000.0,16.82,0,0.09,N,4.0
23.0,35000.0,RENT,5.0,DEBTCONSOLIDATION,A,7000.0,6.03,0,0.2,N,2.0
24.0,54870.0,OWN,3.0,VENTURE,A,1000.0,8.59,0,0.02,N,2.0
25.0,54900.0,MORTGAGE,2.0,HOMEIMPROVEMENT,B,3000.0,10.99,0,0.05,N,2.0
25.0,48902.0,MORTGAGE,9.0,PERSONAL,C,6000.0,15.23,1,0.12,Y,3.0
24.0,35000.0,RENT,9.0,PERSONAL,A,7000.0,5.99,0,0.2,N,2.0
26.0,35000.0,RENT,5.0,VENTURE,B,7000.0,10.99,0,0.2,N,4.0
23.0,54960.0,MORTGAGE,7.0,EDUCATION,A,5500.0,6.03,0,0.1,N,3.0
23.0,35000.0,RENT,0.0,EDUCATION,B,7000.0,10.99,0,0.2,N,3.0
25.0,35000.0,RENT,2.0,PERSONAL,A,7000.0,8.94,0,0.2,N,3.0
23.0,54996.0,MORTGAGE,7.0,EDUCATION,B,2100.0,11.49,0,0.04,N,3.0
21.0,35000.0,RENT,5.0,VENTURE,C,7000.0,11.34,0,0.2,Y,3.0
21.0,29000.0,RENT,5.0,MEDICAL,D,7000.0,12.61,1,0.24,Y,2.0
23.0,54996.0,MORTGAGE,2.0,MEDICAL,B,1925.0,10.59,0,0.04,N,4.0
22.0,35350.0,RENT,3.0,DEBTCONSOLIDATION,B,7000.0,9.99,0,0.2,N,3.0
24.0,54996.0,MORTGAGE,8.0,VENTURE,A,5500.0,5.99,0,0.1,N,4.0
22.0,29654.0,RENT,3.0,EDUCATION,C,7000.0,14.22,1,0.24,N,3.0
24.0,36000.0,RENT,1.0,MEDICAL,A,7000.0,6.03,0,0.19,N,3.0
23.0,36000.0,RENT,1.0,EDUCATION,A,7000.0,7.9,0,0.19,N,4.0
23.0,36000.0,RENT,5.0,VENTURE,B,7000.0,10.65,0,0.19,N,2.0
23.0,36000.0,RENT,3.0,EDUCATION,B,7000.0,9.99,0,0.19,N,3.0
23.0,54996.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000.0,10.99,0,0.27,N,2.0
22.0,54996.0,MORTGAGE,3.0,EDUCATION,B,12000.0,9.63,0,0.22,N,2.0
24.0,54996.0,OWN,4.0,EDUCATION,B,10000.0,10.37,0,0.18,N,4.0
25.0,30000.0,RENT,0.0,EDUCATION,E,7000.0,10.99,1,0.23,Y,2.0
26.0,36000.0,RENT,1.0,VENTURE,A,7000.0,8.94,0,0.19,N,3.0
26.0,36120.0,RENT,0.0,PERSONAL,C,7000.0,14.22,0,0.19,N,4.0
23.0,31000.0,RENT,7.0,HOMEIMPROVEMENT,B,7000.0,10.99,1,0.23,N,3.0
24.0,37000.0,RENT,2.0,PERSONAL,B,7000.0,9.99,0,0.19,N,2.0
24.0,37000.0,RENT,2.0,MEDICAL,A,7000.0,7.51,0,0.19,N,4.0
22.0,54996.0,MORTGAGE,3.0,EDUCATION,B,5000.0,10.75,0,0.09,N,3.0
22.0,37000.0,RENT,0.0,PERSONAL,B,7000.0,10.95,0,0.19,N,4.0
25.0,37200.0,RENT,0.0,DEBTCONSOLIDATION,B,7000.0,12.42,0,0.19,N,3.0
25.0,37200.0,RENT,6.0,VENTURE,A,7000.0,7.14,0,0.19,N,4.0
21.0,48996.0,MORTGAGE,5.0,VENTURE,D,15000.0,15.58,1,0.31,Y,3.0
21.0,37200.0,RENT,1.0,DEBTCONSOLIDATION,B,7000.0,10.99,0,0.19,N,3.0
23.0,54996.0,MORTGAGE,7.0,PERSONAL,C,8000.0,14.35,0,0.15,N,4.0
25.0,48996.0,MORTGAGE,8.0,PERSONAL,B,5000.0,9.88,1,0.1,N,2.0
23.0,37500.0,RENT,5.0,PERSONAL,B,7000.0,12.69,0,0.19,N,4.0
22.0,37740.0,RENT,6.0,MEDICAL,A,7000.0,10.99,0,0.19,N,3.0
25.0,54996.0,MORTGAGE,0.0,VENTURE,A,10000.0,8.94,0,0.18,N,2.0
22.0,32000.0,RENT,0.0,PERSONAL,D,7000.0,10.99,1,0.22,Y,4.0
26.0,38000.0,RENT,5.0,EDUCATION,A,7000.0,7.51,0,0.18,N,3.0
25.0,38400.0,RENT,0.0,DEBTCONSOLIDATION,B,7000.0,9.99,0,0.18,N,2.0
23.0,38500.0,RENT,2.0,MEDICAL,B,7000.0,11.14,0,0.18,N,2.0
21.0,39600.0,RENT,3.0,EDUCATION,D,7000.0,14.96,0,0.18,Y,2.0
22.0,39996.0,RENT,3.0,PERSONAL,B,7000.0,9.63,0,0.18,N,4.0
22.0,48996.0,OTHER,3.0,DEBTCONSOLIDATION,D,10000.0,14.11,1,0.2,N,4.0
24.0,54996.0,OWN,0.0,VENTURE,B,12000.0,11.26,0,0.22,N,3.0
24.0,54996.0,MORTGAGE,8.0,MEDICAL,B,19000.0,10.83,0,0.35,N,3.0
24.0,39996.0,RENT,1.0,MEDICAL,C,7000.0,13.11,0,0.18,N,3.0
22.0,40000.0,RENT,0.0,DEBTCONSOLIDATION,B,7000.0,10.65,0,0.17,N,2.0
22.0,40000.0,RENT,6.0,MEDICAL,A,7000.0,7.9,0,0.17,N,2.0
22.0,40000.0,RENT,2.0,EDUCATION,B,7000.0,11.99,0,0.17,N,4.0
22.0,40000.0,RENT,1.0,DEBTCONSOLIDATION,B,7000.0,11.11,0,0.17,N,3.0
21.0,40000.0,RENT,3.0,EDUCATION,D,7000.0,14.46,0,0.17,N,3.0
24.0,40000.0,RENT,3.0,VENTURE,A,7000.0,7.88,0,0.17,N,4.0
22.0,40000.0,RENT,1.0,EDUCATION,B,7000.0,11.14,0,0.17,N,4.0
22.0,55000.0,MORTGAGE,2.0,MEDICAL,B,20000.0,11.71,0,0.36,N,2.0
25.0,40000.0,RENT,2.0,DEBTCONSOLIDATION,A,7000.0,8.94,0,0.17,N,3.0
24.0,34000.0,RENT,0.0,EDUCATION,E,7000.0,17.04,1,0.21,N,2.0
23.0,55000.0,MORTGAGE,8.0,VENTURE,B,7200.0,11.71,0,0.13,N,3.0
23.0,55000.0,MORTGAGE,3.0,PERSONAL,A,7500.0,7.51,0,0.14,N,2.0
23.0,40000.0,RENT,4.0,MEDICAL,B,7000.0,11.58,0,0.17,N,3.0
24.0,40000.0,RENT,2.0,EDUCATION,C,7000.0,11.34,0,0.17,Y,2.0
24.0,40040.0,RENT,0.0,MEDICAL,C,7000.0,13.23,0,0.17,Y,3.0
23.0,34320.0,RENT,5.0,DEBTCONSOLIDATION,F,7000.0,18.3,1,0.2,Y,3.0
24.0,55000.0,MORTGAGE,8.0,MEDICAL,B,15000.0,9.91,0,0.27,N,3.0
25.0,55000.0,MORTGAGE,6.0,PERSONAL,C,15000.0,15.27,0,0.27,N,3.0
24.0,40800.0,RENT,0.0,MEDICAL,B,7000.0,11.86,0,0.17,N,2.0
21.0,41000.0,RENT,5.0,EDUCATION,A,7000.0,5.79,0,0.17,N,3.0
22.0,55000.0,MORTGAGE,5.0,EDUCATION,D,11100.0,16.77,0,0.2,N,2.0
23.0,55000.0,MORTGAGE,7.0,MEDICAL,A,2800.0,10.99,0,0.05,N,2.0
24.0,55000.0,MORTGAGE,5.0,PERSONAL,B,3100.0,11.71,0,0.06,N,2.0
22.0,55000.0,MORTGAGE,6.0,EDUCATION,C,1400.0,13.49,0,0.03,N,3.0
22.0,35000.0,RENT,2.0,MEDICAL,F,7000.0,18.09,1,0.2,Y,2.0
23.0,55000.0,MORTGAGE,7.0,VENTURE,A,5200.0,8.9,0,0.09,N,4.0
26.0,55000.0,MORTGAGE,6.0,EDUCATION,A,11500.0,8.9,0,0.21,N,4.0
24.0,41000.0,RENT,1.0,MEDICAL,C,7000.0,12.53,0,0.17,N,2.0
25.0,55000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,8000.0,6.03,0,0.15,N,4.0
22.0,55000.0,MORTGAGE,6.0,PERSONAL,C,3250.0,13.49,0,0.06,Y,4.0
24.0,55000.0,MORTGAGE,1.0,MEDICAL,B,5225.0,9.91,0,0.1,N,4.0
22.0,42000.0,RENT,2.0,EDUCATION,C,7000.0,14.27,0,0.17,N,2.0
26.0,55000.0,MORTGAGE,6.0,PERSONAL,B,3775.0,11.71,0,0.07,N,3.0
26.0,42000.0,RENT,10.0,DEBTCONSOLIDATION,A,7000.0,10.99,0,0.17,N,2.0
25.0,55000.0,MORTGAGE,1.0,EDUCATION,A,6400.0,6.03,0,0.12,N,3.0
22.0,42000.0,RENT,6.0,DEBTCONSOLIDATION,C,7000.0,12.68,0,0.17,N,2.0
23.0,55000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7500.0,7.51,0,0.14,N,4.0
25.0,42000.0,RENT,8.0,MEDICAL,A,7000.0,5.79,0,0.17,N,2.0
23.0,55000.0,MORTGAGE,7.0,VENTURE,A,6500.0,7.9,0,0.12,N,3.0
23.0,55000.0,MORTGAGE,7.0,PERSONAL,D,6625.0,16.77,0,0.12,Y,3.0
23.0,55000.0,MORTGAGE,0.0,PERSONAL,A,2000.0,10.99,0,0.04,N,2.0
22.0,42000.0,RENT,4.0,MEDICAL,C,7000.0,13.61,0,0.17,N,2.0
26.0,36000.0,RENT,3.0,DEBTCONSOLIDATION,D,7000.0,14.96,1,0.19,Y,4.0
23.0,42000.0,RENT,2.0,EDUCATION,A,7000.0,7.88,0,0.17,N,3.0
